    0.1264977578E+01    0.1191691771E+01    0.1191691771E+01    0.2227270716E+01    0.8405439753E+01    0.8405439753E+01    0.8610471616E+01
    0.1278878431E+01    0.1059241767E+01    0.1059241767E+01    0.1983664040E+01    0.8422664227E+01    0.8422664227E+01    0.8585670858E+01
    0.1292779283E+01    0.9263164576E+00    0.9263164576E+00    0.1738438842E+01    0.8437879962E+01    0.8437879962E+01    0.8563367791E+01
    0.1306680136E+01    0.7928816564E+00    0.7928816564E+00    0.1491744533E+01    0.8451080312E+01    0.8451080312E+01    0.8543715673E+01
    0.1320580988E+01    0.6588420970E+00    0.6588420970E+00    0.1243700584E+01    0.8462259531E+01    0.8462259531E+01    0.8526850110E+01
    0.1334481841E+01    0.5239622814E+00    0.5239622814E+00    0.9943565100E+00    0.8471412767E+01    0.8471412767E+01    0.8512887919E+01
    0.1348382693E+01    0.3876189005E+00    0.3876189005E+00    0.7435708695E+00    0.8478536056E+01    0.8478536056E+01    0.8501926125E+01
    0.1362283546E+01    0.2477130403E+00    0.2477130403E+00    0.4905154029E+00    0.8483626317E+01    0.8483626317E+01    0.8494041112E+01
    0.1376184398E+01    0.8936405238E-01    0.8936405238E-01    0.2298698378E+00    0.8486681353E+01    0.8486681353E+01    0.8489287939E+01
    0.1390085251E+01   -0.9906215804E-01   -0.9906215804E-01   -0.9906215804E-01    0.8487699844E+01    0.8487699844E+01    0.8487699844E+01
    0.1403986103E+01    0.8936405238E-01    0.8936405238E-01    0.2298698378E+00    0.8486681353E+01    0.8486681353E+01    0.8489287939E+01
    0.1417886956E+01    0.2477130403E+00    0.2477130403E+00    0.4905154029E+00    0.8483626317E+01    0.8483626317E+01    0.8494041112E+01
    0.1431787808E+01    0.3876189005E+00    0.3876189005E+00    0.7435708695E+00    0.8478536056E+01    0.8478536056E+01    0.8501926125E+01
    0.1445688661E+01    0.5239622814E+00    0.5239622814E+00    0.9943565100E+00    0.8471412767E+01    0.8471412767E+01    0.8512887919E+01
    0.1459589513E+01    0.6588420970E+00    0.6588420970E+00    0.1243700584E+01    0.8462259531E+01    0.8462259531E+01    0.8526850110E+01
    0.1473490366E+01    0.7928816564E+00    0.7928816564E+00    0.1491744533E+01    0.8451080312E+01    0.8451080312E+01    0.8543715673E+01
    0.1487391218E+01    0.9263164576E+00    0.9263164576E+00    0.1738438842E+01    0.8437879962E+01    0.8437879962E+01    0.8563367791E+01
    0.1501292071E+01    0.1059241767E+01    0.1059241767E+01    0.1983664040E+01    0.8422664227E+01    0.8422664227E+01    0.8585670858E+01
    0.1515192923E+01    0.1191691771E+01    0.1191691771E+01    0.2227270716E+01    0.8405439753E+01    0.8405439753E+01    0.8610471616E+01
    0.1529093776E+01    0.1323670521E+01    0.1323670521E+01    0.2469095555E+01    0.8386214095E+01    0.8386214095E+01    0.8637600403E+01
    0.1542994628E+01    0.1455165794E+01    0.1455165794E+01    0.2708968722E+01    0.8364995731E+01    0.8364995731E+01    0.8666872486E+01
    0.1556895481E+01    0.1586155951E+01    0.1586155951E+01    0.2946717651E+01    0.8341794074E+01    0.8341794074E+01    0.8698089463E+01
    0.1570796333E+01    0.1716613598E+01    0.1716613598E+01    0.3182169181E+01    0.8316619494E+01    0.8316619494E+01    0.8731040710E+01
    0.1584697186E+01    0.1846507656E+01    0.1846507656E+01    0.3415150869E+01    0.8289483343E+01    0.8289483343E+01    0.8765504846E+01
    0.1598598038E+01    0.1975804578E+01    0.1975804578E+01    0.3645491859E+01    0.8260397985E+01    0.8260397985E+01    0.8801251205E+01
    0.1612498891E+01    0.2104469088E+01    0.2104469088E+01    0.3873023504E+01    0.8229376837E+01    0.8229376837E+01    0.8838041286E+01
    0.1626399743E+01    0.2232464634E+01    0.2232464634E+01    0.4097579844E+01    0.8196434420E+01    0.8196434420E+01    0.8875630185E+01
    0.1640300596E+01    0.2359753657E+01    0.2359753657E+01    0.4318997985E+01    0.8161586415E+01    0.8161586415E+01    0.8913767965E+01
    0.1654201448E+01    0.2486297739E+01    0.2486297739E+01    0.4537118428E+01    0.8124849747E+01    0.8124849747E+01    0.8952200986E+01
    0.1668102301E+01    0.2612057658E+01    0.2612057658E+01    0.4751785351E+01    0.8086242675E+01    0.8086242675E+01    0.8990673162E+01
    0.1682003153E+01    0.2736993377E+01    0.2736993377E+01    0.4962846875E+01    0.8045784909E+01    0.8045784909E+01    0.9028927148E+01
    0.1695904006E+01    0.2861063969E+01    0.2861063969E+01    0.5170155297E+01    0.8003497761E+01    0.8003497761E+01    0.9066705457E+01
    0.1709804859E+01    0.2984227485E+01    0.2984227485E+01    0.5373567315E+01    0.7959404321E+01    0.7959404321E+01    0.9103751491E+01
    0.1723705711E+01    0.3106440763E+01    0.3106440763E+01    0.5572944244E+01    0.7913529686E+01    0.7913529686E+01    0.9139810499E+01
